"metro","state","lat","long","population","n","pp"
"Anchorage","AK",61.1508,-149.1091,319989,24,7.50025782136261
"Williamsport","PA",41.2398,-77.0371,186601,14,7.50263932133268
"Port Huron","MI",42.9822,-82.4387,199726,15,7.5102890960616
"Clarksville","TN",36.5695,-87.342,248479,19,7.64652143641917
"Kankakee","IL",41.1019,-87.8643,183668,15,8.16690985909358
"Santa Maria","CA",34.9334,-120.4432,402762,33,8.19342440448702
"Eugene","OR",44.0563,-123.1173,369039,31,8.40019618522703
"Coral Springs","FL",26.2702,-80.2591,963596,82,8.50979041008888
"Norwich","CT",41.5495,-72.0882,465083,40,8.60061537403001
"Marysville","WA",48.0809,-122.1561,360418,35,9.71094673406989
"Salisbury","MD",38.3756,-75.5867,200474,20,9.97635603619422
"Chico","CA",39.7575,-121.8152,166861,17,10.1881206513206
"Aurora","IL",41.7637,-88.2901,689087,71,10.3034885290246
"Merced","CA",37.3057,-120.4778,446562,47,10.5248543315374
"Hickory","NC",35.7425,-81.323,328881,36,10.9462085070284
"Salinas","CA",36.6884,-121.6317,484417,55,11.3538542206405
"Prescott Valley","AZ",34.5983,-112.3176,205092,24,11.7020654145457
"Ann Arbor","MI",42.2755,-83.7312,361325,47,13.0076800664222
"West Palm Beach","FL",26.7468,-80.1316,285581,38,13.3062073457268
"San Tan Valley","AZ",33.1879,-111.5472,387235,53,13.6867793458752
"Franklin","NJ",40.4759,-74.5515,618891,89,14.3805613589469
"Michigan City","IN",41.7099,-86.8705,208654,32,15.3363942220135
"Port Orange","FL",29.1084,-81.0137,175801,27,15.358274412546
"Islip","NY",40.7384,-73.1887,572815,90,15.7118790534466
"Ramapo","NY",41.1404,-74.1072,688952,115,16.6920191827587
"Texas City","TX",29.4128,-94.9658,212633,37,17.4008738060414
"Jacksonville","NC",34.7288,-77.3941,172024,30,17.4394270566898
"Santa Ana","CA",33.7366,-117.8819,1391245,257,18.47266297453
"Leesburg","FL",28.7657,-81.8996,205336,38,18.5062531655433
"Amherst","MA",42.3645,-72.5069,198781,38,19.1165151598996
"Dover","NH",43.1887,-70.8845,413104,79,19.1235136914675
"Burlington","NC",36.0758,-79.4686,205973,46,22.3330242313313
"Hazleton","PA",40.9504,-75.9724,217171,49,22.5628652076014
"Fairfield","CA",38.2592,-122.0324,276742,67,24.2102752744433
"Temecula","CA",33.4928,-117.1315,183428,46,25.0779597444229
"Rome","GA",34.2661,-85.1862,185385,48,25.8920624646007
"Newark","DE",39.6776,-75.7573,210857,65,30.8265791507989
